"Nein";"Direkte Ablehnung (vorsichtig verwenden).";"いいえ";"iːe";"Ii-e";"Nein";"";"Japaner vermeiden oft ein direktes Nein. Alternativ wird oft die Hand gewedelt oder ""Daijoubu"" (大丈夫 / ist okay) gesagt.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_no_polite.mp3]";"";"";"lang:ja-JP L1:de-DE cat:politeness type:single"
"..., bitte (um etwas bitten)";"Nach einem Nomen, wenn man etwas haben möchte.";"お願いします";"oneɡai ɕimasɯ";"O-ne-gai schi-mass";"Ich bitte darum";"";"z.B. ""Mizu, onegai shimasu"" (Wasser, bitte).";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_please_request.mp3]";"";"";"lang:ja-JP L1:de-DE cat:politeness type:single"
"Gern geschehen / Kein Problem";"Reaktion auf ""Danke"".";"いえいえ";"ie ie";"I-e, i-e";"Nicht doch / Kein Ding";"";"Das förmliche ""Dou itashimashite"" wird selten genutzt. ""Ie ie"" (wörtlich: nein nein) ist bescheidener und natürlicher.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_you_are_welcome.mp3]";"";"";"lang:ja-JP L1:de-DE cat:politeness type:single"
"Wie geht es Ihnen?";"Kann man fragen, ist aber seltener als im Deutschen.";"お元気ですか";"oɡeŋki desɯ ka";"O-gen-ki dess-ka";"Sind Sie gesund/munter?";"";"Antwort ist meistens einfach: ""Hai, genki desu.""";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_how_are_you.mp3]";"";"";"lang:ja-JP L1:de-DE cat:small_talk type:single"
"Mir geht es gut";"Standardantwort auf ""O-genki desu ka?"".";"元気です";"ɡeŋki desɯ";"Gen-ki dess";"Bin gesund/munter";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_im_fine.mp3]";"";"";"lang:ja-JP L1:de-DE cat:small_talk type:single"
"Ich heiße ...";"Selbstvorstellung.";"…です";"... desɯ";"... dess";"Ich bin ...";"";"Einfach den Namen voranstellen. ""Anna desu"" (アンナです).";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_my_name.mp3]";"";"";"lang:ja-JP L1:de-DE cat:small_talk type:single"
"Ich bin Deutsche(r)";"Nationalität angeben.";"ドイツ人です";"doitsɯdʑin desɯ";"Doi-tsu-dschin dess";"Ich bin Deutschland-Mensch";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_im_german.mp3]";"";"";"lang:ja-JP L1:de-DE cat:small_talk type:single"
"Ich komme aus Deutschland";"Herkunft erklären.";"ドイツから来ました";"doitsɯ kaɾa kimaɕita";"Doi-tsu ka-ra ki-masch-ta";"Kam aus Deutschland";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_from_germany.mp3]";"";"";"lang:ja-JP L1:de-DE cat:small_talk type:single"
"Was sind Sie von Beruf?";"Höfliche Frage nach der Arbeit.";"お仕事は何ですか";"oɕiɡoto ɰa nan desɯ ka";"O-schi-go-to wa nan dess-ka";"Was ist Ihre Arbeit?";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_job_ask.mp3]";"";"";"lang:ja-JP L1:de-DE cat:small_talk type:single"
"Ich bin Angestellter / Büroarbeiter";"Die häufigste, sicherste Antwort auf die Berufsfrage.";"会社員です";"kaiɕain desɯ";"Kai-scha-in dess";"Bin Firmenmitarbeiter";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_job_office.mp3]";"";"";"lang:ja-JP L1:de-DE cat:small_talk type:single"
"Das stimmt / Genau / Verstehe";"Der wichtigste ""Filler"" im Gespräch, um Zustimmung zu signalisieren.";"そうですね";"soː desɯ ne";"Soo dess ne";"So ist es, nicht wahr";"";"Nutzen Sie dies oft, wenn der andere spricht, um höflich zu wirken.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_filler_agreement.mp3]";"";"";"lang:ja-JP L1:de-DE cat:culture type:single"
"Krass! / Wow! / Super!";"Allzweck-Reaktion auf etwas Beeindruckendes.";"すごい！";"sɯɡoi";"Ssu-goi";"Großartig / Heftig";"";"Kann für Essen, Landschaften oder Fähigkeiten genutzt werden.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_reaction_amazing.mp3]";"";"";"lang:ja-JP L1:de-DE cat:culture type:single"
"Süß! / Niedlich!";"Extrem häufige Reaktion in Japan (nicht nur für Kinder/Tiere).";"かわいい！";"kawaii";"Ka-wa-ii";"Süß";"";"Auch für Kleidung, Design oder Souvenirs.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_reaction_cute.mp3]";"";"";"lang:ja-JP L1:de-DE cat:culture type:single"
"Ich verstehe (es) nicht";"Wenn man dem Gespräch nicht folgen kann.";"わかりません";"wakaɾimasen";"Wa-ka-ri-ma-sen";"Verstehe nicht";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_dont_understand.mp3]";"";"";"lang:ja-JP L1:de-DE cat:communication type:single"
"Sprechen Sie Deutsch?";"Frage nach Sprachkenntnissen.";"ドイツ語が話せますか";"doitsɯɡo ɡa hanasemasɯ ka";"Doi-tsu-go ga ha-na-se-mass ka";"Können Sie Deutsch sprechen?";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_speak_german.mp3]";"";"";"lang:ja-JP L1:de-DE cat:communication type:single"
"Sprechen Sie Englisch?";"Oft hilfreicher als nach Deutsch zu fragen.";"英語が話せますか";"eiɡo ɡa hanasemasɯ ka";"Ei-go ga ha-na-se-mass ka";"Können Sie Englisch sprechen?";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_speak_english.mp3]";"";"";"lang:ja-JP L1:de-DE cat:communication type:single"
"Langsamer, bitte";"Wenn jemand zu schnell redet.";"ゆっくりお願いします";"jɯkkɯɾi oneɡai ɕimasɯ";"Juk-ku-ri o-ne-gai schi-mass";"Langsam bitte";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_slowly_please.mp3]";"";"";"lang:ja-JP L1:de-DE cat:communication type:single"
"Könnten Sie das aufschreiben?";"Hilfreich bei Adressen oder Preisen.";"書いてください";"kaite kɯdasai";"Kai-te ku-da-sai";"Bitte schreiben";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_write_down.mp3]";"";"";"lang:ja-JP L1:de-DE cat:communication type:single"
"Einen Moment, bitte";"Wenn man Zeit braucht (z.B. Handy suchen).";"ちょっと待ってください";"tɕotto matte kɯdasai";"Tschot-to mat-te ku-da-sai";"Warte kurz bitte";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_wait_moment.mp3]";"";"";"lang:ja-JP L1:de-DE cat:communication type:single"
"Die Speisekarte, bitte";"Im Restaurant.";"メニュー、お願いします";"menjɯː oneɡai ɕimasɯ";"Men-juu, o-ne-gai schi-mass";"Menü bitte";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_menu_please.mp3]";"";"";"lang:ja-JP L1:de-DE cat:food type:single"
"Wasser, bitte";"Gratis Wasser im Restaurant bestellen.";"お水、お願いします";"omizɯ oneɡai ɕimasɯ";"O-mi-su, o-ne-gai schi-mass";"Das Wasser bitte";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_water_please.mp3]";"";"";"lang:ja-JP L1:de-DE cat:food type:single"
"Das hier, bitte (auf Bild zeigen)";"Der einfachste Weg zu bestellen.";"これをください";"koɾe o kɯdasai";"Ko-re o ku-da-sai";"Dies hier geben Sie mir";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_this_please_order.mp3]";"";"";"lang:ja-JP L1:de-DE cat:food type:single"
"Prost!";"Beim Anstoßen.";"乾杯！";"kampai";"Kam-pai";"Leeres Glas (Austrinken)";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_cheers.mp3]";"";"";"lang:ja-JP L1:de-DE cat:food type:single"
"Lecker!";"Während oder nach dem Essen.";"美味しいです";"oiɕiː desɯ";"Oi-schii dess";"Es ist lecker";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_delicious.mp3]";"";"";"lang:ja-JP L1:de-DE cat:food type:single"
"Ich esse kein Fleisch";"Diätetische Einschränkung.";"肉は食べません";"nikɯ ɰa tabemasen";"Ni-ku wa ta-be-ma-sen";"Fleisch esse ich nicht";"";"Um sicherzugehen, sagen Sie besser ""Niku nashi de"" (肉なしで / Ohne Fleisch).";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_no_meat.mp3]";"";"";"lang:ja-JP L1:de-DE cat:food type:single"
"Ich habe eine Allergie";"Wichtiger Sicherheitshinweis.";"アレルギーがあります";"aɾeɾɯɡiː ɡa aɾimasɯ";"A-re-ru-gii ga a-ri-mass";"Allergie ist vorhanden";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_allergy.mp3]";"";"";"lang:ja-JP L1:de-DE cat:food type:single"
"Die Rechnung, bitte";"Am Ende des Essens.";"お会計、お願いします";"okaikeː oneɡai ɕimasɯ";"O-kai-kee, o-ne-gai schi-mass";"Die Abrechnung bitte";"";"Oft bezahlt man in Japan an der Kasse beim Ausgang, nicht am Tisch.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_bill_please.mp3]";"";"";"lang:ja-JP L1:de-DE cat:food type:single"
"Wo ist die Toilette?";"Überlebenswichtig.";"トイレはどこですか";"toiɾe ɰa doko desɯ ka";"Toi-re wa do-ko dess-ka";"Toilette, wo ist sie?";"";"""Toire"" ist das übliche Wort.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_where_toilet.mp3]";"";"";"lang:ja-JP L1:de-DE cat:location type:single"
"Wo ist der Bahnhof?";"Suche nach Zug/U-Bahn.";"駅はどこですか";"eki ɰa doko desɯ ka";"E-ki wa do-ko dess-ka";"Bahnhof, wo ist er?";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_where_station.mp3]";"";"";"lang:ja-JP L1:de-DE cat:location type:single"
"Wo ist ein Convenience Store (Konbini)?";"Zum Geldabheben, Essen kaufen, etc.";"コンビニはどこですか";"kombini ɰa doko desɯ ka";"Kom-bi-ni wa do-ko dess-ka";"Konbini, wo ist er?";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_where_convenience.mp3]";"";"";"lang:ja-JP L1:de-DE cat:location type:single"
"Rechts";"Richtung verstehen.";"右";"miɡi";"Mi-gi";"Rechts";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_direction_right.mp3]";"";"";"lang:ja-JP L1:de-DE cat:location type:single"
"Links";"Richtung verstehen.";"左";"hidaɾi";"Hi-da-ri";"Links";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_direction_left.mp3]";"";"";"lang:ja-JP L1:de-DE cat:location type:single"
"Geradeaus";"Richtung verstehen.";"まっすぐ";"massɯɡɯ";"Mass-su-gu";"Geradeaus";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_direction_straight.mp3]";"";"";"lang:ja-JP L1:de-DE cat:location type:single"
"Wie viel kostet das?";"Nach dem Preis fragen.";"いくらですか";"ikɯɾa desɯ ka";"I-ku-ra dess-ka";"Wie viel ist es?";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_how_much.mp3]";"";"";"lang:ja-JP L1:de-DE cat:shopping type:single"
"Geht Karte?";"Fragen, ob man mit Kreditkarte zahlen kann.";"カードで";"kaːdo de";"Kaa-do de";"Mit Karte";"";"Kurzform für ""Kaado de haraemasu ka?"" (カードで払えますか). ""Kaado de"" reicht völlig und wird verstanden.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_pay_card.mp3]";"";"";"lang:ja-JP L1:de-DE cat:shopping type:single"
"Barzahlung";"Wenn Karte nicht geht.";"現金で";"ɡeŋkin de";"Gen-kin de";"Mit Bargeld";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_pay_cash.mp3]";"";"";"lang:ja-JP L1:de-DE cat:shopping type:single"
"Das ist teuer!";"Reaktion auf einen hohen Preis.";"高いですね";"takai desɯ ne";"Ta-kai dess ne";"Ist teuer, nicht wahr?";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_expensive.mp3]";"";"";"lang:ja-JP L1:de-DE cat:shopping type:single"
"Ich schaue nur";"Wenn ein Verkäufer Hilfe anbietet.";"見ているだけです";"mite iɾɯ dake desɯ";"Mi-te i-ru da-ke dess";"Bin nur schauend";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_just_looking.mp3]";"";"";"lang:ja-JP L1:de-DE cat:shopping type:single"
"Eine Tüte, bitte";"Im Supermarkt/Konbini (kostet meist extra).";"袋、お願いします";"fɯkɯɾo oneɡai ɕimasɯ";"Fu-ku-ro, o-ne-gai schi-mass";"Tüte bitte";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_plastic_bag.mp3]";"";"";"lang:ja-JP L1:de-DE cat:shopping type:single"
"Den Kassenbon, bitte";"Falls man eine Quittung braucht.";"レシート、お願いします";"ɾeɕiːto oneɡai ɕimasɯ";"Re-schii-to, o-ne-gai schi-mass";"Quittung bitte";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_receipt_please.mp3]";"";"";"lang:ja-JP L1:de-DE cat:shopping type:single"
"Kennenlernen / Vorstellung";"Wenn man jemandem zum ersten Mal vorgestellt wird.";"初めまして";"hadʑimemaɕite";"Ha-dschi-me-masch-te";"Schön, Sie kennenzulernen (Anfang)";"";"Erster Satz bei einer Begegnung.";"";"";"";"よろしくお願いします";"joɾoɕikɯ oneɡai ɕimasɯ";"Jo-ro-schi-ku o-ne-gai schi-mass";"Ich bitte um Ihr Wohlwollen";"Diese Phrase ist essenziell in Japan. Sie bedeutet etwa ""Bitte seien Sie gut zu mir"" oder ""Auf gute Zusammenarbeit"".";"[sound:deDE-jaJP_ritual_introduction__call.mp3]";"";"[sound:deDE-jaJP_ritual_introduction__response.mp3]";"lang:ja-JP L1:de-DE cat:ritual type:ritual_pair"
"Gruß an Kollegen / Arbeitende";"Wird ständig verwendet: beim Treffen, bei Arbeit, beim Abschied.";"お疲れ様です";"otsɯkaɾesama desɯ";"O-tsu-ka-re-ssa-ma dess";"Danke für die Mühe / Gute Arbeit";"";"Standardgruß unter Kollegen oder zu Personal, das hart arbeitet.";"";"";"";"お疲れ様です";"otsɯkaɾesama desɯ";"O-tsu-ka-re-ssa-ma dess";"Danke für die Mühe";"Man antwortet meist genau gleich. Es ist der soziale Klebstoff Japans.";"[sound:deDE-jaJP_ritual_work_team__call.mp3]";"";"[sound:deDE-jaJP_ritual_work_team__response.mp3]";"lang:ja-JP L1:de-DE cat:ritual type:ritual_pair"
"Vor dem Essen (Ritual)";"Man sagt es, bevor man den ersten Bissen nimmt.";"いただきます";"itadakimasɯ";"I-ta-da-ki-mass";"Ich empfange (dankbar)";"";"Hände falten, leicht verbeugen, sagen. Es gibt keine Antwort, alle sagen es für sich.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_ritual_meal_start.mp3]";"";"";"lang:ja-JP L1:de-DE cat:ritual type:single"
"Nach dem Essen (Ritual)";"Wenn man fertig ist oder das Restaurant verlässt.";"ごちそうさまでした";"ɡotɕisoːsama deɕita";"Go-tschi-soo-ssa-ma desch-ta";"Es war ein Festmahl";"";"Sagen Sie dies zum Koch oder Personal beim Gehen. Das ""deshita"" kann man weglassen, um es lockerer zu machen.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_ritual_meal_end.mp3]";"";"";"lang:ja-JP L1:de-DE cat:ritual type:single"
"Eins (1)";"Für Geld, Telefonnummern.";"一";"itɕi";"I-tschi";"1";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_num_1.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Zwei (2)";"Zahl.";"二";"ni";"Ni";"2";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_num_2.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Drei (3)";"Zahl.";"三";"san";"San";"3";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_num_3.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Vier (4)";"Zahl.";"四";"jon";"Jon";"4";"";"Achtung: ""Shi"" heißt auch 4, klingt aber wie ""Tod"", daher oft vermieden.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_num_4.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Fünf (5)";"Zahl.";"五";"ɡo";"Go";"5";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_num_5.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Sechs (6)";"Zahl.";"六";"ɾokɯ";"Ro-ku";"6";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_num_6.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Sieben (7)";"Zahl.";"七";"nana";"Na-na";"7";"";"Manchmal auch ""Shichi"".";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_num_7.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Acht (8)";"Zahl.";"八";"hatɕi";"Ha-tschi";"8";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_num_8.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Neun (9)";"Zahl.";"九";"kjɯː";"Kjuu";"9";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_num_9.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Zehn (10)";"Zahl.";"十";"dʑɯː";"Dschuu";"10";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_num_10.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Hundert (100)";"Zahl.";"百";"hjakɯ";"Hja-ku";"100";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_num_100.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Tausend (1.000)";"Zahl.";"千";"sen";"Sen";"1000";"";"";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_num_1000.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Zehntausend (10.000)";"Wichtig für Geld! Ein ""Man"" ist ca. 60-70 Euro.";"一万";"itɕiman";"I-tschi-man";"Ein Zehntausend";"";"Japaner zählen in 10.000er Schritten, nicht in Tausendern ab hier.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_num_10000.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Zwei Personen (im Restaurant)";"Wenn der Kellner fragt, wie viele Sie sind.";"二人";"fɯtaɾi";"Fu-ta-ri";"Zwei Personen";"";"Sonderform. ""Ni-nin"" ist falsch.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_count_people_2.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
"Eine Person (im Restaurant)";"Wenn man alleine ist.";"一人";"hitoɾi";"Hi-to-ri";"Alleine / Eine Person";"";"Sonderform.";"";"";"";"";"";"";"";"";"[sound:deDE-jaJP_count_people_1.mp3]";"";"";"lang:ja-JP L1:de-DE cat:number type:single"
